frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
5,8.11,8.1,2.53,2.47,5.83,5.13,13.61,0.02,0.05,0.04
6,8.04,8.06,2.52,2.5,5.67,2.65,13.05,0.02,0.054,0.06
7,8.21,8.25,2.52,2.51,5.51,2.35,11.52,0.02,0.064,0.06
8,8.14,8.17,2.54,2.53,5.84,1.65,12.37,0.04,0.066,0.07
9,8.31,8.34,2.52,2.51,5.78,1.62,12.12,0.06,0.065,0.06
10,8.35,8.36,2.55,2.56,5.38,1.39,8.65,0.08,0.058,0.07
11,8.3,8.32,2.5,2.51,5.49,3.81,9.61,0.09,0.053,0.07
12,8.17,8.16,2.52,2.52,5.86,1.85,13.22,0.09,0.047,0.06
13,8.05,8.02,2.55,2.54,6.0,1.81,14.08,0.09,0.045,0.06
14,8.16,8.12,2.57,2.54,6.08,1.35,14.36,0.08,0.042,0.05
15,8.33,8.31,2.52,2.51,6.07,4.55,14.71,0.09,0.041,0.06
16,8.31,8.29,2.53,2.53,6.05,4.51,14.39,0.1,0.041,0.06
17,8.19,8.18,2.59,2.6,5.95,4.12,14.47,0.1,0.038,0.06
18,8.19,8.18,2.57,2.58,6.05,3.7,14.59,0.1,0.038,0.06
19,8.19,8.18,2.57,2.58,6.05,3.7,14.59,0.1,0.038,0.06
20,8.19,8.18,2.57,2.58,6.05,3.7,14.59,0.1,0.038,0.06
21,8.19,8.18,2.57,2.58,6.05,3.7,14.59,0.1,0.038,0.06
1,7.59,7.65,2.77,2.81,5.5,1.63,9.76,0.08,0.031,0.09
2,8.08,8.09,2.57,2.53,5.66,2.42,13.06,0.03,0.059,0.05
3,8.18,8.22,2.56,2.54,5.45,2.33,11.59,0.03,0.063,0.06
4,8.14,8.18,2.54,2.53,5.83,1.65,12.37,0.04,0.067,0.07
5,8.31,8.35,2.52,2.52,5.76,1.62,12.12,0.06,0.062,0.07
6,8.38,8.39,2.57,2.57,5.43,1.41,8.82,0.08,0.059,0.06
7,8.29,8.3,2.54,2.54,5.51,3.73,9.54,0.09,0.055,0.07
8,8.17,8.16,2.54,2.54,5.86,1.86,13.2,0.09,0.047,0.06
9,8.03,8.0,2.6,2.59,5.96,1.76,14.01,0.08,0.044,0.06
10,8.17,8.13,2.57,2.55,6.07,1.37,14.38,0.08,0.041,0.05
11,8.34,8.32,2.51,2.5,6.08,4.68,14.67,0.1,0.044,0.06
12,8.3,8.28,2.55,2.55,6.09,4.23,14.5,0.1,0.043,0.06
