frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
19,7.07,7.06,2.63,2.54,7.08,4.83,16.81,0.17,-0.107,0.15
20,7.08,7.07,2.65,2.55,7.15,4.99,16.66,0.17,-0.105,0.16
21,7.13,7.13,2.53,2.44,7.02,4.95,16.64,0.16,-0.105,0.16
22,7.88,7.84,2.49,2.39,6.94,4.9,16.95,0.16,-0.104,0.15
23,7.8,7.77,2.41,2.31,6.93,4.93,17.02,0.16,-0.101,0.15
24,7.8,7.76,2.33,2.2,7.04,4.87,17.03,0.16,-0.1,0.15
25,7.4,7.38,2.48,2.37,7.11,4.83,16.84,0.16,-0.103,0.15
26,7.29,7.27,2.49,2.38,7.02,4.76,16.69,0.17,-0.1,0.15
27,7.24,7.22,2.51,2.4,7.05,4.74,16.67,0.17,-0.1,0.15
28,7.18,7.16,2.53,2.42,7.03,4.69,16.83,0.18,-0.097,0.15
29,7.13,7.12,2.56,2.46,7.02,4.71,16.92,0.17,-0.098,0.15
30,7.15,7.12,2.56,2.45,7.08,4.67,16.9,0.17,-0.097,0.14
31,7.16,7.13,2.56,2.45,7.07,4.65,16.86,0.17,-0.096,0.15
32,7.13,7.1,2.56,2.46,7.12,4.64,17.01,0.17,-0.094,0.15
33,7.14,7.11,2.58,2.47,7.21,4.33,17.26,0.17,-0.094,0.13
34,7.14,7.09,2.61,2.5,7.36,4.12,17.58,0.16,-0.094,0.13
35,7.16,7.11,2.56,2.44,7.35,4.13,17.64,0.16,-0.093,0.13
36,7.15,7.08,2.64,2.53,7.38,3.83,17.89,0.17,-0.094,0.13
37,7.17,7.11,2.67,2.55,7.42,3.94,18.36,0.15,-0.093,0.12
38,7.2,7.14,2.57,2.46,7.52,3.85,18.39,0.15,-0.094,0.12
39,7.2,7.14,2.57,2.46,7.52,3.85,18.39,0.15,-0.094,0.12
40,7.2,7.14,2.57,2.46,7.52,3.85,18.39,0.15,-0.094,0.12
41,7.2,7.14,2.57,2.46,7.52,3.85,18.39,0.15,-0.094,0.12
1,7.01,6.97,2.88,2.79,7.69,3.62,18.58,0.17,-0.028,0.05
2,7.49,7.49,2.77,2.67,6.55,5.03,16.24,0.18,-0.118,0.13
3,7.4,7.41,2.71,2.66,6.13,4.83,15.63,0.16,-0.124,0.15
4,7.41,7.42,2.69,2.64,5.89,4.53,15.29,0.18,-0.124,0.17
5,7.36,7.39,2.67,2.65,6.04,4.9,16.05,0.17,-0.13,0.17
6,7.38,7.39,2.65,2.63,5.9,4.73,15.93,0.18,-0.124,0.2
7,7.41,7.43,2.65,2.62,6.09,4.83,15.91,0.19,-0.127,0.2
8,7.32,7.32,2.65,2.63,6.19,4.77,15.78,0.2,-0.123,0.2
9,7.31,7.32,2.6,2.57,6.53,4.94,16.01,0.19,-0.129,0.2
10,7.29,7.3,2.64,2.6,6.2,4.66,16.05,0.18,-0.131,0.2
11,7.23,7.22,2.63,2.56,6.56,4.71,16.57,0.17,-0.121,0.18
12,7.15,7.13,2.64,2.57,6.8,4.75,16.69,0.16,-0.12,0.17
13,7.19,7.18,2.67,2.58,6.66,4.74,16.35,0.17,-0.116,0.17
14,7.19,7.17,2.62,2.52,6.93,4.86,16.53,0.16,-0.117,0.16
15,7.16,7.13,2.64,2.55,6.91,4.97,16.57,0.16,-0.115,0.16
16,7.15,7.13,2.59,2.5,6.92,5.09,16.78,0.16,-0.114,0.16
17,7.15,7.13,2.61,2.52,7.03,5.06,16.73,0.16,-0.108,0.16
18,7.09,7.08,2.61,2.51,7.06,4.91,16.71,0.16,-0.109,0.15
19,7.12,7.12,2.62,2.52,7.0,4.99,16.71,0.16,-0.106,0.16
20,7.09,7.08,2.62,2.53,7.0,4.8,16.77,0.17,-0.104,0.16
21,7.07,7.06,2.63,2.54,7.07,4.94,16.71,0.16,-0.106,0.16
22,7.19,7.17,2.5,2.4,7.09,5.01,16.85,0.16,-0.107,0.16
23,7.8,7.76,2.47,2.37,6.95,4.93,17.14,0.16,-0.101,0.15
24,7.79,7.75,2.36,2.24,7.05,4.95,16.97,0.16,-0.1,0.15
25,7.52,7.48,2.49,2.38,7.06,4.86,16.92,0.16,-0.1,0.15
26,7.47,7.45,2.34,2.22,7.11,4.83,16.97,0.17,-0.1,0.15
27,7.21,7.2,2.54,2.43,7.11,4.68,16.74,0.17,-0.1,0.15
28,7.16,7.14,2.56,2.45,7.1,4.62,16.78,0.17,-0.098,0.15
29,7.15,7.13,2.56,2.46,7.04,4.69,16.76,0.17,-0.1,0.15
30,7.15,7.13,2.55,2.44,7.01,4.69,16.76,0.17,-0.099,0.15
31,7.13,7.11,2.56,2.45,7.11,4.66,16.98,0.17,-0.098,0.14
32,7.13,7.11,2.57,2.46,7.13,4.63,16.88,0.17,-0.096,0.14
33,7.15,7.12,2.57,2.46,7.18,4.3,17.37,0.17,-0.096,0.13
34,7.14,7.11,2.57,2.45,7.22,4.33,17.28,0.17,-0.095,0.13
35,7.15,7.11,2.57,2.45,7.34,4.14,17.72,0.17,-0.094,0.13
36,7.14,7.1,2.59,2.48,7.34,4.14,17.71,0.17,-0.093,0.13
37,7.14,7.09,2.61,2.51,7.4,3.84,18.01,0.17,-0.096,0.13
38,7.19,7.13,2.57,2.47,7.54,3.85,18.4,0.15,-0.096,0.12
39,7.19,7.13,2.57,2.47,7.54,3.85,18.4,0.15,-0.096,0.12
40,7.19,7.13,2.57,2.47,7.54,3.85,18.4,0.15,-0.096,0.12
41,7.19,7.13,2.57,2.47,7.54,3.85,18.4,0.15,-0.096,0.12
1,7.46,7.45,2.81,2.71,6.93,4.74,16.64,0.17,-0.1,0.11
2,7.46,7.46,2.76,2.68,6.51,5.12,16.31,0.18,-0.118,0.13
3,7.38,7.39,2.79,2.73,6.57,4.9,16.33,0.16,-0.121,0.14
4,7.37,7.41,2.67,2.63,6.21,5.14,16.26,0.18,-0.127,0.17
5,7.37,7.37,2.75,2.71,5.96,4.52,15.71,0.18,-0.123,0.19
6,7.4,7.42,2.61,2.59,6.16,5.04,15.83,0.18,-0.124,0.2
7,7.39,7.41,2.64,2.62,6.27,4.78,15.84,0.18,-0.125,0.2
8,7.31,7.32,2.67,2.65,6.13,4.83,15.63,0.2,-0.123,0.2
9,7.28,7.3,2.64,2.6,6.32,4.66,16.24,0.18,-0.127,0.19
10,7.22,7.21,2.64,2.58,6.66,5.05,16.28,0.18,-0.119,0.18
11,7.25,7.25,2.61,2.54,6.55,5.11,16.25,0.18,-0.117,0.18
12,7.21,7.2,2.63,2.55,6.72,5.13,16.49,0.17,-0.118,0.17
13,7.21,7.2,2.61,2.53,6.77,5.13,16.75,0.17,-0.117,0.17
14,7.2,7.18,2.63,2.53,6.91,4.82,16.33,0.17,-0.117,0.16
15,7.17,7.15,2.62,2.51,6.88,5.05,16.59,0.16,-0.111,0.16
16,7.16,7.15,2.59,2.49,6.99,4.88,16.61,0.16,-0.111,0.15
17,7.14,7.13,2.61,2.51,7.03,4.91,16.87,0.16,-0.11,0.16
18,7.12,7.11,2.62,2.52,7.02,4.92,16.69,0.16,-0.107,0.16
19,7.06,7.06,2.63,2.54,7.07,4.84,16.86,0.16,-0.107,0.16
20,7.08,7.08,2.66,2.56,7.1,4.98,16.43,0.17,-0.105,0.16
21,7.16,7.16,2.5,2.41,7.0,5.02,16.58,0.16,-0.106,0.16
22,7.89,7.86,2.49,2.38,6.89,4.87,16.89,0.16,-0.105,0.15
23,7.8,7.77,2.41,2.31,6.92,4.93,17.04,0.16,-0.102,0.15
24,7.79,7.75,2.34,2.22,7.07,4.94,16.96,0.16,-0.1,0.15
25,7.51,7.47,2.5,2.39,7.08,4.86,16.95,0.16,-0.101,0.15
26,7.3,7.29,2.49,2.38,6.99,4.76,16.57,0.18,-0.098,0.15
27,7.23,7.21,2.51,2.4,7.05,4.78,16.65,0.17,-0.099,0.15
28,7.17,7.16,2.53,2.42,7.05,4.69,16.87,0.17,-0.098,0.15
29,7.13,7.12,2.56,2.45,7.02,4.7,16.83,0.17,-0.098,0.15
30,7.14,7.12,2.54,2.44,7.02,4.68,16.86,0.17,-0.099,0.15
31,7.14,7.12,2.54,2.44,7.06,4.62,16.92,0.17,-0.096,0.14
32,7.13,7.11,2.56,2.45,7.12,4.64,16.98,0.17,-0.096,0.14
33,7.13,7.11,2.56,2.45,7.12,4.51,17.12,0.17,-0.095,0.14
34,7.15,7.12,2.6,2.49,7.16,4.33,17.25,0.18,-0.094,0.13
35,7.13,7.09,2.6,2.48,7.34,4.14,17.71,0.17,-0.093,0.13
36,7.15,7.1,2.6,2.48,7.33,4.15,17.7,0.18,-0.093,0.13
37,7.17,7.11,2.67,2.56,7.43,3.94,18.36,0.15,-0.094,0.12
38,7.2,7.14,2.57,2.46,7.52,3.84,18.4,0.15,-0.094,0.12
39,7.2,7.14,2.57,2.46,7.52,3.84,18.4,0.15,-0.094,0.12
40,7.2,7.14,2.57,2.46,7.52,3.84,18.4,0.15,-0.094,0.12
41,7.2,7.14,2.57,2.46,7.52,3.84,18.4,0.15,-0.094,0.12
1,7.01,6.97,2.88,2.79,7.69,3.62,18.58,0.17,-0.028,0.05
2,7.46,7.45,2.8,2.7,6.93,4.75,16.67,0.17,-0.1,0.11
3,7.4,7.41,2.71,2.66,6.13,4.83,15.63,0.16,-0.124,0.15
4,7.36,7.38,2.74,2.7,6.43,4.92,15.93,0.16,-0.128,0.15
5,7.35,7.39,2.65,2.62,6.29,5.19,16.21,0.17,-0.133,0.17
6,7.37,7.37,2.72,2.68,6.09,4.78,15.87,0.18,-0.123,0.19
7,7.41,7.43,2.61,2.59,6.17,5.01,15.94,0.19,-0.125,0.2
8,7.39,7.41,2.62,2.6,6.31,4.95,16.01,0.18,-0.125,0.2
9,7.37,7.38,2.64,2.61,6.07,5.13,15.95,0.2,-0.125,0.2
10,7.28,7.29,2.63,2.59,6.37,4.9,16.1,0.18,-0.128,0.2
11,7.2,7.18,2.68,2.61,6.55,4.75,16.54,0.18,-0.12,0.18
12,7.18,7.16,2.64,2.56,6.74,4.76,16.7,0.17,-0.118,0.17
13,7.19,7.18,2.67,2.58,6.69,4.73,16.37,0.17,-0.116,0.17
14,7.12,7.11,2.69,2.61,6.86,4.96,16.4,0.16,-0.113,0.16
15,7.15,7.12,2.65,2.56,6.91,4.84,16.45,0.16,-0.116,0.16
16,7.14,7.12,2.59,2.51,6.91,4.91,16.66,0.16,-0.116,0.16
17,7.15,7.14,2.61,2.51,7.03,4.89,16.84,0.16,-0.109,0.15
18,7.1,7.09,2.62,2.53,7.0,4.79,16.73,0.15,-0.109,0.16
19,7.13,7.12,2.6,2.51,6.99,4.77,16.75,0.16,-0.109,0.16
20,7.06,7.06,2.66,2.57,6.96,4.77,16.73,0.16,-0.107,0.16
21,7.06,7.05,2.66,2.57,7.07,4.8,16.7,0.16,-0.106,0.16
22,7.19,7.17,2.51,2.41,7.07,4.85,16.8,0.17,-0.106,0.16
23,7.9,7.86,2.38,2.27,6.95,4.94,17.02,0.16,-0.103,0.15
24,7.79,7.75,2.34,2.22,7.07,4.89,17.04,0.16,-0.101,0.15
25,7.51,7.47,2.51,2.4,7.05,4.88,16.83,0.16,-0.1,0.15
26,7.25,7.23,2.55,2.44,7.05,4.7,16.86,0.18,-0.101,0.15
27,7.22,7.21,2.53,2.42,7.12,4.68,16.85,0.18,-0.099,0.15
28,7.17,7.15,2.54,2.44,7.11,4.64,16.86,0.18,-0.099,0.15
29,7.13,7.12,2.55,2.44,7.03,4.68,16.9,0.17,-0.098,0.15
30,7.14,7.13,2.54,2.44,7.01,4.67,16.91,0.17,-0.098,0.15
31,7.14,7.12,2.55,2.45,7.07,4.66,16.9,0.17,-0.095,0.15
32,7.12,7.1,2.57,2.47,7.14,4.65,17.07,0.17,-0.095,0.15
33,7.12,7.1,2.55,2.44,7.12,4.52,17.19,0.17,-0.095,0.14
34,7.14,7.1,2.6,2.49,7.19,4.32,17.28,0.17,-0.094,0.14
35,7.16,7.11,2.58,2.46,7.35,4.15,17.7,0.16,-0.093,0.13
