frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
22,6.84,6.81,2.11,2.03,5.05,2.88,11.26,0.1,0.037,0.03
23,7.08,7.1,2.28,2.23,4.81,3.02,10.37,0.11,0.033,0.02
24,6.99,7.0,2.45,2.39,4.7,3.06,10.25,0.09,0.046,0.02
25,6.68,6.66,2.24,2.15,5.12,2.59,11.52,0.1,0.041,0.02
26,7.06,7.07,1.81,1.7,4.99,2.64,12.03,0.11,0.028,0.02
27,6.69,6.69,1.99,1.86,4.92,2.69,12.47,0.11,0.04,0.02
28,6.59,6.6,1.99,1.87,4.96,2.71,12.41,0.11,0.039,0.02
29,6.72,6.72,2.47,2.39,5.05,2.53,12.33,0.09,0.045,0.01
30,6.75,6.73,2.25,2.14,5.04,2.55,12.34,0.09,0.025,0.02
31,6.84,6.83,1.74,1.57,5.07,2.74,12.33,0.1,0.04,0.01
32,6.66,6.69,2.23,2.16,4.96,2.51,12.46,0.13,0.031,0.03
33,6.81,6.88,2.08,2.07,4.67,2.92,11.58,0.17,0.072,0.03
34,6.84,6.88,1.92,1.89,4.98,3.21,11.84,0.14,0.075,0.03
35,6.95,7.02,2.31,2.28,4.89,3.19,11.5,0.16,0.084,0.02
36,7.06,7.07,2.13,2.06,5.25,4.06,12.87,0.1,0.069,0.02
37,7.12,7.12,2.15,2.06,5.38,4.03,12.54,0.12,0.06,0.02
38,6.89,6.91,2.71,2.69,5.27,3.41,12.31,0.09,0.055,0.02
39,6.86,6.88,2.26,2.26,5.71,3.73,13.17,0.07,0.057,0.03
40,6.88,6.89,2.6,2.56,5.29,3.0,12.58,0.06,0.073,0.03
41,6.67,6.75,2.27,2.26,6.08,3.17,13.49,0.03,0.101,0.05
42,6.63,6.62,2.2,2.14,6.06,3.52,13.75,-0.04,0.089,0.06
43,6.59,6.65,2.57,2.48,5.42,2.92,13.22,-0.01,0.092,0.05
44,6.63,6.69,2.28,2.23,5.61,2.64,13.24,-0.03,0.088,0.05
45,6.72,6.74,2.71,2.6,5.89,2.41,13.47,-0.02,0.102,0.05
46,6.72,6.7,2.14,2.08,6.98,2.07,15.43,-0.01,0.094,0.04
47,6.76,6.69,2.44,2.38,6.54,1.79,15.39,0.05,-0.006,0.02
48,6.81,6.78,2.66,2.57,6.74,1.62,15.35,0.09,-0.001,0.03
49,6.95,6.93,2.71,2.57,6.39,1.61,15.79,0.11,0.012,0.02
50,6.79,6.74,2.51,2.41,6.66,1.61,15.53,0.08,-0.004,0.04
51,6.65,6.59,2.3,2.17,6.7,1.62,15.36,0.07,-0.002,0.03
52,6.65,6.59,2.3,2.17,6.7,1.62,15.36,0.07,-0.002,0.03
53,6.65,6.59,2.3,2.17,6.7,1.62,15.36,0.07,-0.002,0.03
54,6.65,6.59,2.3,2.17,6.7,1.62,15.36,0.07,-0.002,0.03
1,6.93,6.99,2.69,2.52,6.42,0.8,13.99,0.11,0.033,0.02
2,7.22,7.24,2.74,2.62,6.31,2.17,14.98,0.11,0.015,0.02
3,7.42,7.32,3.04,2.95,6.3,1.61,14.6,0.13,-0.007,0.01
4,7.54,7.33,3.04,2.85,6.31,1.4,13.85,0.12,-0.032,-0.03
5,7.58,7.29,3.19,3.01,6.58,1.15,13.8,0.13,-0.057,-0.05
6,7.46,7.33,2.99,2.86,6.28,1.05,12.9,0.14,-0.03,-0.02
7,7.65,7.51,3.45,3.28,6.05,1.07,11.41,0.17,-0.031,0.01
8,7.31,7.25,2.99,2.79,6.94,1.05,16.56,0.16,-0.023,0.02
9,7.41,7.38,2.84,2.63,6.51,4.02,16.27,0.19,-0.03,0.0
10,7.27,7.27,2.56,2.47,5.43,6.46,11.69,0.19,-0.023,0.04
11,7.1,7.15,2.66,2.64,5.56,6.72,12.68,0.18,-0.011,0.06
12,7.11,7.16,2.6,2.58,4.98,6.9,10.77,0.18,0.004,0.06
13,7.08,7.15,2.11,2.13,5.16,7.06,11.57,0.22,0.019,0.07
14,7.08,7.12,2.25,2.26,4.49,6.74,10.5,0.22,0.022,0.06
15,7.25,7.26,1.98,1.97,4.77,6.67,10.87,0.21,0.012,0.06
16,7.0,7.09,2.26,2.29,4.8,7.06,9.55,0.24,0.031,0.07
17,7.35,7.45,1.79,1.81,5.1,6.82,10.53,0.24,0.029,0.07
18,7.27,7.29,2.08,2.1,4.69,7.13,10.75,0.24,0.012,0.06
19,7.28,7.37,2.18,2.16,4.47,5.35,9.63,0.21,0.027,0.04
