frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
10,6.27,6.39,3.14,3.16,6.73,1.31,17.32,-0.02,-0.262,-0.14
11,6.46,6.58,2.76,2.8,6.54,3.28,16.85,0.0,-0.25,-0.13
12,6.35,6.46,2.95,3.04,6.55,3.15,16.85,-0.04,-0.222,-0.14
13,6.56,6.65,3.03,3.1,6.62,2.56,17.4,-0.01,-0.212,-0.16
14,6.42,6.47,3.11,3.16,6.64,1.81,17.61,0.01,-0.227,-0.16
15,6.48,6.5,3.69,3.75,6.95,1.35,17.3,0.03,-0.204,-0.14
16,6.56,6.66,3.32,3.38,6.7,2.55,17.08,0.04,-0.197,-0.14
17,6.44,6.49,3.23,3.29,6.8,2.85,16.23,0.06,-0.189,-0.12
18,6.56,6.59,3.42,3.46,6.66,3.4,15.87,0.06,-0.184,-0.12
19,6.57,6.6,3.65,3.69,6.51,1.59,14.96,0.05,-0.185,-0.12
20,6.52,6.6,2.95,2.98,6.69,1.38,14.95,0.04,-0.184,-0.13
21,6.48,6.53,3.34,3.36,6.72,1.35,16.11,0.01,-0.195,-0.12
22,6.49,6.5,3.17,3.18,6.8,1.2,16.55,-0.03,-0.207,-0.13
23,6.68,6.7,2.55,2.6,6.97,1.08,16.71,-0.08,-0.221,-0.13
24,7.03,7.01,3.42,3.41,6.76,1.23,16.61,-0.1,-0.219,-0.15
25,6.94,6.94,2.66,2.65,6.83,1.04,17.2,-0.11,-0.226,-0.16
26,7.06,7.09,3.07,3.05,6.61,1.12,17.15,-0.08,-0.221,-0.15
27,7.0,7.02,3.31,3.3,6.55,1.15,17.33,-0.09,-0.226,-0.15
28,7.06,7.1,2.9,2.93,6.31,3.19,15.77,-0.07,-0.218,-0.14
29,7.05,7.09,3.32,3.34,6.28,2.47,15.65,-0.04,-0.232,-0.11
30,7.12,7.15,2.78,2.8,6.36,1.63,15.13,-0.05,-0.24,-0.12
31,7.02,7.02,2.62,2.65,6.6,1.67,14.61,-0.06,-0.241,-0.12
32,7.07,7.09,2.65,2.67,6.49,1.67,13.26,-0.06,-0.25,-0.1
33,7.14,7.16,2.69,2.73,6.39,1.31,13.51,-0.04,-0.247,-0.09
34,7.02,7.05,3.15,3.19,6.47,1.55,14.23,-0.03,-0.251,-0.08
35,6.79,6.8,3.07,3.1,6.64,1.65,13.77,-0.03,-0.243,-0.09
36,6.96,6.98,3.09,3.11,6.98,1.84,15.89,-0.01,-0.229,-0.11
37,6.73,6.73,3.71,3.73,6.47,2.67,16.36,0.0,-0.228,-0.11
38,6.64,6.65,2.73,2.76,6.8,2.56,16.38,0.0,-0.22,-0.12
39,6.62,6.66,3.16,3.2,6.72,3.66,16.44,0.01,-0.221,-0.11
40,6.55,6.6,3.09,3.16,6.41,3.72,16.13,0.01,-0.221,-0.09
41,6.42,6.46,2.96,3.01,7.05,3.41,16.69,0.01,-0.214,-0.09
42,6.47,6.49,3.23,3.28,6.81,2.88,16.87,0.01,-0.205,-0.07
43,6.59,6.65,2.61,2.64,7.01,3.64,16.85,0.03,-0.2,-0.09
44,6.41,6.45,2.81,2.85,7.03,1.42,17.62,0.01,-0.192,-0.09
45,6.33,6.41,2.98,2.99,7.37,1.21,17.78,0.02,-0.176,-0.09
46,6.55,6.57,2.93,2.92,6.93,1.27,16.94,0.04,-0.157,-0.1
47,6.5,6.55,3.35,3.3,6.66,1.61,16.99,0.07,-0.135,-0.09
