frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
53,7.68,7.68,2.56,2.51,6.13,1.17,11.38,0.07,0.001,0.04
54,7.68,7.67,2.55,2.5,6.14,1.16,11.47,0.08,0.008,0.04
55,7.7,7.69,2.56,2.51,6.12,1.17,11.39,0.08,0.002,0.04
56,7.67,7.66,2.56,2.51,6.15,1.16,11.45,0.07,0.007,0.04
57,7.69,7.69,2.56,2.51,6.11,1.18,11.33,0.08,0.001,0.04
58,7.68,7.68,2.54,2.5,6.13,1.18,11.3,0.07,0.002,0.04
59,7.69,7.69,2.56,2.51,6.13,1.17,11.39,0.08,0.002,0.04
60,7.7,7.69,2.57,2.52,6.11,1.18,11.38,0.08,0.003,0.04
61,7.67,7.66,2.54,2.49,6.15,1.14,11.54,0.08,0.005,0.04
62,7.66,7.66,2.54,2.49,6.15,1.15,11.46,0.07,0.005,0.04
63,7.68,7.68,2.57,2.52,6.11,1.17,11.38,0.08,0.002,0.04
64,7.68,7.67,2.55,2.5,6.13,1.16,11.49,0.08,0.007,0.04
65,7.67,7.67,2.55,2.5,6.14,1.14,11.56,0.08,0.009,0.03
66,7.67,7.65,2.55,2.52,6.14,1.19,11.38,0.06,0.001,0.04
67,7.68,7.68,2.55,2.5,6.13,1.15,11.5,0.08,0.002,0.04
68,7.68,7.68,2.57,2.52,6.12,1.17,11.36,0.07,0.003,0.04
69,7.68,7.67,2.55,2.5,6.14,1.16,11.44,0.08,0.008,0.04
70,7.68,7.67,2.55,2.5,6.14,1.16,11.44,0.08,0.008,0.04
71,7.68,7.67,2.55,2.5,6.14,1.16,11.44,0.08,0.008,0.04
72,7.69,7.68,2.56,2.52,6.14,1.17,11.33,0.08,-0.001,0.04
73,7.68,7.68,2.56,2.51,6.12,1.16,11.4,0.07,0.002,0.03
74,7.69,7.68,2.56,2.51,6.12,1.18,11.33,0.07,-0.003,0.04
75,7.68,7.69,2.55,2.5,6.13,1.18,11.33,0.07,0.007,0.04
76,7.68,7.68,2.55,2.5,6.13,1.16,11.4,0.08,0.005,0.04
77,7.69,7.68,2.55,2.5,6.13,1.15,11.38,0.08,0.004,0.04
78,7.68,7.68,2.56,2.5,6.12,1.16,11.38,0.08,0.005,0.03
79,7.69,7.69,2.56,2.51,6.11,1.18,11.35,0.08,0.0,0.04
80,7.68,7.67,2.55,2.5,6.15,1.14,11.51,0.08,0.005,0.04
81,7.67,7.67,2.55,2.5,6.15,1.15,11.44,0.07,0.004,0.04
82,7.67,7.66,2.55,2.5,6.15,1.15,11.53,0.07,0.006,0.04
83,7.68,7.67,2.55,2.5,6.14,1.16,11.47,0.07,0.008,0.04
84,7.67,7.67,2.55,2.5,6.14,1.16,11.46,0.07,0.008,0.04
85,7.68,7.67,2.55,2.5,6.15,1.14,11.51,0.08,0.007,0.04
86,7.67,7.66,2.55,2.51,6.15,1.18,11.39,0.07,0.005,0.04
87,7.67,7.66,2.55,2.5,6.16,1.15,11.5,0.07,0.005,0.04
88,7.67,7.66,2.55,2.5,6.16,1.14,11.51,0.08,0.003,0.04
89,7.66,7.66,2.55,2.5,6.15,1.15,11.45,0.07,0.005,0.04
90,7.69,7.68,2.56,2.51,6.13,1.18,11.33,0.08,-0.001,0.04
91,7.69,7.69,2.55,2.5,6.12,1.19,11.31,0.08,0.006,0.04
92,7.67,7.67,2.56,2.51,6.14,1.15,11.53,0.08,0.009,0.04
93,7.67,7.66,2.56,2.51,6.14,1.18,11.4,0.07,0.005,0.04
94,7.67,7.66,2.56,2.5,6.14,1.16,11.5,0.07,0.01,0.04
95,7.67,7.67,2.55,2.5,6.15,1.14,11.51,0.08,0.006,0.04
96,7.67,7.67,2.56,2.5,6.14,1.16,11.44,0.07,0.007,0.04
97,7.67,7.67,2.56,2.5,6.16,1.14,11.53,0.08,0.006,0.04
98,7.67,7.67,2.56,2.5,6.13,1.16,11.45,0.07,0.009,0.04
99,7.67,7.67,2.56,2.5,6.13,1.16,11.45,0.07,0.009,0.04
100,7.67,7.67,2.56,2.5,6.13,1.16,11.45,0.07,0.009,0.04
101,7.7,7.69,2.56,2.51,6.12,1.18,11.33,0.08,0.002,0.04
102,7.7,7.69,2.56,2.51,6.12,1.18,11.33,0.08,0.002,0.04
103,7.69,7.69,2.56,2.51,6.11,1.17,11.42,0.08,0.006,0.04
104,7.66,7.66,2.55,2.5,6.15,1.16,11.44,0.07,0.003,0.04
105,7.67,7.68,2.56,2.51,6.12,1.18,11.33,0.07,0.005,0.03
106,7.69,7.68,2.56,2.51,6.12,1.18,11.37,0.08,0.0,0.04
107,7.69,7.69,2.55,2.5,6.12,1.18,11.31,0.08,0.005,0.04
108,7.69,7.68,2.55,2.5,6.13,1.16,11.38,0.08,-0.002,0.04
109,7.68,7.68,2.56,2.51,6.13,1.17,11.34,0.08,0.001,0.04
110,7.67,7.67,2.55,2.5,6.15,1.15,11.46,0.07,0.005,0.04
111,7.67,7.66,2.55,2.5,6.16,1.14,11.53,0.08,0.004,0.04
112,7.67,7.66,2.55,2.5,6.15,1.15,11.43,0.07,0.004,0.04
113,7.67,7.66,2.55,2.5,6.15,1.15,11.53,0.07,0.006,0.04
114,7.67,7.67,2.56,2.5,6.14,1.15,11.52,0.07,0.009,0.03
115,7.69,7.69,2.55,2.5,6.12,1.18,11.34,0.08,0.004,0.04
116,7.69,7.69,2.56,2.51,6.13,1.17,11.39,0.08,0.002,0.04
117,7.68,7.68,2.56,2.51,6.11,1.17,11.39,0.08,0.002,0.04
118,7.69,7.69,2.56,2.51,6.12,1.18,11.38,0.08,0.001,0.04
119,7.69,7.69,2.56,2.51,6.12,1.18,11.31,0.08,0.004,0.04
120,7.69,7.68,2.56,2.51,6.13,1.17,11.38,0.08,0.0,0.04
121,7.69,7.68,2.56,2.51,6.13,1.17,11.35,0.08,0.0,0.04
122,7.67,7.67,2.55,2.5,6.15,1.15,11.49,0.08,0.008,0.04
123,7.67,7.67,2.56,2.51,6.14,1.17,11.42,0.07,0.007,0.04
124,7.67,7.67,2.56,2.51,6.13,1.16,11.52,0.07,0.011,0.04
125,7.68,7.67,2.55,2.5,6.15,1.15,11.49,0.07,0.007,0.04
126,7.67,7.67,2.56,2.51,6.14,1.15,11.5,0.07,0.01,0.04
127,7.67,7.67,2.56,2.51,6.14,1.17,11.41,0.07,0.006,0.04
128,7.68,7.68,2.55,2.51,6.13,1.17,11.32,0.08,0.002,0.04
129,7.68,7.68,2.55,2.51,6.13,1.17,11.32,0.08,0.002,0.04
130,7.68,7.68,2.55,2.51,6.13,1.17,11.32,0.08,0.002,0.04
131,7.67,7.67,2.55,2.5,6.15,1.14,11.54,0.08,0.008,0.04
132,7.67,7.67,2.55,2.51,6.16,1.15,11.43,0.08,0.003,0.04
133,7.68,7.68,2.57,2.52,6.11,1.17,11.4,0.07,0.004,0.03
134,7.68,7.67,2.56,2.51,6.14,1.15,11.51,0.08,0.009,0.04
135,7.69,7.69,2.56,2.51,6.12,1.19,11.31,0.08,0.007,0.04
136,7.69,7.69,2.56,2.51,6.12,1.17,11.39,0.08,0.003,0.04
137,7.69,7.68,2.57,2.52,6.11,1.17,11.39,0.08,0.003,0.04
138,7.68,7.68,2.56,2.51,6.14,1.17,11.36,0.08,0.0,0.04
139,7.67,7.67,2.55,2.5,6.14,1.15,11.49,0.07,0.007,0.04
