frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
342,8.4,8.35,1.87,1.98,6.84,4.42,17.96,0.08,-0.034,0.07
343,8.39,8.34,1.88,1.98,6.83,4.17,17.92,0.08,-0.034,0.07
344,8.39,8.36,1.89,2.01,6.85,4.35,18.01,0.08,-0.03,0.08
345,8.39,8.34,1.88,1.99,6.85,4.28,17.92,0.08,-0.032,0.07
346,8.39,8.34,1.88,1.98,6.84,4.31,17.94,0.08,-0.034,0.07
347,8.41,8.37,1.85,1.97,6.83,4.71,17.94,0.08,-0.032,0.08
348,8.4,8.36,1.86,1.98,6.85,4.55,17.96,0.08,-0.031,0.08
349,8.4,8.36,1.86,1.98,6.85,4.66,18.01,0.08,-0.03,0.08
350,8.38,8.34,1.88,1.99,6.86,4.3,17.99,0.08,-0.031,0.08
351,8.39,8.34,1.88,1.99,6.84,4.25,17.93,0.08,-0.033,0.07
352,8.39,8.34,1.88,1.99,6.84,4.25,17.93,0.08,-0.033,0.07
353,8.39,8.34,1.88,1.99,6.84,4.25,17.93,0.08,-0.033,0.07
354,8.39,8.34,1.88,1.99,6.84,4.25,17.93,0.08,-0.033,0.07
355,8.39,8.34,1.88,1.99,6.84,4.25,17.93,0.08,-0.033,0.07
356,8.41,8.37,1.86,1.98,6.85,4.44,17.94,0.08,-0.031,0.08
357,8.41,8.37,1.86,1.98,6.85,4.44,17.94,0.08,-0.031,0.08
358,8.42,8.37,1.86,1.98,6.83,4.25,17.95,0.08,-0.033,0.07
359,8.42,8.38,1.84,1.96,6.84,4.51,17.94,0.08,-0.033,0.07
360,8.41,8.37,1.85,1.97,6.85,4.58,17.91,0.08,-0.032,0.07
361,8.4,8.36,1.87,1.99,6.83,4.13,17.88,0.08,-0.031,0.08
362,8.42,8.39,1.86,1.98,6.85,4.52,17.95,0.08,-0.031,0.08
363,8.42,8.38,1.84,1.96,6.85,4.71,17.98,0.08,-0.031,0.07
364,8.4,8.36,1.86,1.98,6.85,4.45,17.94,0.08,-0.031,0.08
365,8.39,8.34,1.87,1.99,6.83,4.2,17.92,0.08,-0.033,0.07
366,8.39,8.36,1.88,1.99,6.85,4.39,17.94,0.08,-0.031,0.08
367,8.4,8.34,1.88,1.99,6.84,4.28,17.96,0.08,-0.033,0.07
368,8.41,8.37,1.86,1.97,6.86,4.55,17.96,0.08,-0.033,0.07
369,8.4,8.36,1.87,1.99,6.85,4.16,17.9,0.08,-0.032,0.08
370,8.41,8.37,1.87,1.99,6.84,4.25,17.95,0.08,-0.031,0.08
371,8.42,8.37,1.86,1.97,6.84,4.28,17.93,0.08,-0.033,0.07
372,8.41,8.37,1.86,1.97,6.83,4.4,17.96,0.08,-0.033,0.07
373,8.41,8.36,1.86,1.98,6.83,4.24,17.93,0.08,-0.035,0.07
374,8.42,8.39,1.85,1.97,6.84,4.65,17.95,0.08,-0.032,0.08
375,8.4,8.36,1.87,1.98,6.85,4.34,17.95,0.08,-0.032,0.08
376,8.4,8.35,1.86,1.98,6.84,4.29,17.96,0.08,-0.034,0.07
377,8.41,8.36,1.86,1.97,6.84,4.44,17.96,0.08,-0.033,0.07
378,8.39,8.34,1.87,1.98,6.83,4.16,17.93,0.08,-0.034,0.07
379,8.41,8.37,1.89,2.01,6.84,4.31,18.0,0.08,-0.031,0.08
380,8.4,8.35,1.88,1.99,6.84,4.27,17.95,0.08,-0.033,0.07
