frameCount,LBrowH,RBrowH,LEyeH,REyeH,nose,MouseH,MouseW,OriX,OriY,OriZ
3,6.76,6.68,2.65,2.68,6.29,0.75,14.11,0.02,-0.014,0.11
4,6.79,6.75,2.68,2.66,6.27,0.66,14.24,0.02,-0.017,0.09
5,7.04,7.0,2.55,2.52,6.31,0.7,14.01,0.0,-0.021,0.08
6,7.41,7.41,2.47,2.47,6.32,0.86,13.91,-0.07,-0.033,0.06
7,7.22,7.21,2.64,2.64,6.22,0.79,13.67,-0.07,-0.034,0.06
8,7.08,7.07,2.44,2.44,6.33,0.79,13.34,-0.14,-0.04,0.07
9,7.0,6.99,2.51,2.53,6.45,0.81,13.59,-0.18,-0.039,0.08
10,7.18,7.15,2.53,2.55,6.3,0.82,13.56,-0.2,-0.038,0.08
11,7.18,7.14,2.85,2.87,6.21,0.73,13.5,-0.23,-0.045,0.08
12,7.51,7.49,2.36,2.4,6.36,0.68,13.7,-0.25,-0.049,0.09
13,8.93,8.9,1.95,2.01,6.24,0.72,14.16,-0.28,-0.061,0.09
14,8.83,8.76,2.0,2.03,6.19,0.65,14.11,-0.3,-0.071,0.1
15,8.56,8.47,1.97,2.0,6.15,0.54,14.14,-0.29,-0.09,0.11
16,7.71,7.64,2.06,2.08,6.34,0.68,14.17,-0.25,-0.097,0.12
17,6.97,6.93,2.31,2.31,6.47,0.82,14.3,-0.19,-0.103,0.13
18,6.33,6.29,2.98,2.98,6.37,0.85,13.71,-0.13,-0.103,0.13
19,6.25,6.24,3.05,3.04,6.4,0.83,14.08,-0.12,-0.097,0.14
20,6.06,6.06,3.21,3.23,6.54,0.92,14.27,-0.1,-0.095,0.15
21,6.06,6.06,3.21,3.23,6.54,0.92,14.27,-0.1,-0.095,0.15
22,6.06,6.06,3.21,3.23,6.54,0.92,14.27,-0.1,-0.095,0.15
1,6.29,6.27,2.35,2.43,6.72,1.33,15.03,-0.05,0.029,0.12
2,6.29,6.27,2.35,2.43,6.72,1.33,15.03,-0.05,0.029,0.12
3,6.29,6.27,2.35,2.43,6.72,1.33,15.03,-0.05,0.029,0.12
4,5.6,5.56,2.74,2.7,6.5,0.91,13.57,0.03,-0.022,0.11
5,5.65,5.63,2.75,2.73,6.49,0.85,13.52,0.06,-0.024,0.13
6,5.85,5.81,2.3,2.31,6.48,0.89,13.43,0.06,-0.027,0.13
7,5.76,5.7,2.54,2.56,6.51,0.95,13.75,0.04,-0.03,0.13
8,5.87,5.81,2.49,2.53,6.55,1.01,13.92,0.07,-0.025,0.13
9,5.53,5.48,2.73,2.76,6.44,1.04,12.78,0.06,-0.018,0.12
10,5.64,5.55,3.02,3.04,6.48,1.02,13.91,0.07,-0.014,0.11
11,5.7,5.64,3.09,3.1,6.68,1.83,15.0,0.09,-0.012,0.1
12,6.17,6.06,3.19,3.17,6.25,0.81,13.21,0.15,-0.008,0.08
13,6.32,6.26,3.14,3.13,6.27,1.53,14.13,0.18,-0.007,0.09
14,6.31,6.28,3.01,3.0,6.2,0.75,13.71,0.15,-0.003,0.09
15,6.39,6.26,2.49,2.47,6.22,1.26,14.66,0.12,-0.014,0.08
16,6.74,6.65,2.61,2.57,5.88,8.36,13.49,0.15,-0.003,0.07
1,7.46,7.48,2.75,2.78,6.58,1.55,13.8,0.15,-0.026,0.08
2,7.46,7.48,2.75,2.78,6.58,1.55,13.8,0.15,-0.026,0.08
3,7.46,7.48,2.75,2.78,6.58,1.55,13.8,0.15,-0.026,0.08
4,7.31,7.23,2.88,2.81,6.86,1.59,14.92,0.09,-0.062,0.11
5,6.93,6.84,3.21,3.18,6.78,1.51,14.37,0.12,-0.069,0.13
6,6.64,6.56,3.39,3.36,6.81,1.43,14.17,0.14,-0.068,0.13
7,6.62,6.54,3.46,3.43,6.8,1.39,13.87,0.16,-0.062,0.14
8,6.62,6.54,3.46,3.43,6.8,1.39,13.87,0.16,-0.062,0.14
9,6.62,6.54,3.46,3.43,6.8,1.39,13.87,0.16,-0.062,0.14
1,6.07,6.02,2.78,2.82,6.69,1.71,15.36,0.01,0.031,0.13
2,6.07,6.02,2.78,2.82,6.69,1.71,15.36,0.01,0.031,0.13
3,6.2,6.16,2.84,2.85,6.4,0.85,14.71,0.02,-0.021,0.12
4,5.7,5.67,2.58,2.59,6.52,0.9,13.81,0.06,-0.027,0.13
5,5.69,5.63,2.51,2.52,6.51,0.95,13.55,0.03,-0.032,0.13
6,5.73,5.67,2.84,2.84,6.51,0.99,13.56,0.05,-0.031,0.13
7,5.74,5.67,2.69,2.72,6.55,1.04,13.97,0.06,-0.024,0.12
8,5.7,5.64,2.48,2.54,6.45,1.0,13.34,0.07,-0.018,0.13
9,5.81,5.72,2.91,2.94,6.38,0.91,13.03,0.08,-0.016,0.11
10,5.6,5.54,3.37,3.38,6.64,1.81,14.7,0.1,-0.012,0.1
11,6.11,6.05,3.16,3.17,6.47,0.98,14.08,0.13,-0.008,0.09
12,6.03,5.9,3.4,3.41,6.31,0.8,13.6,0.15,-0.01,0.1
13,6.11,6.04,3.39,3.37,6.29,0.73,13.76,0.19,-0.006,0.09
14,6.44,6.39,2.59,2.61,6.3,0.68,14.0,0.13,-0.007,0.1
15,6.5,6.46,2.73,2.74,6.43,0.91,14.18,0.05,-0.003,0.1
16,6.53,6.49,2.77,2.79,6.27,0.8,14.29,0.03,0.0,0.1
17,6.7,6.64,2.88,2.85,6.29,0.68,13.91,0.04,-0.006,0.09
18,6.68,6.65,2.63,2.66,6.27,0.73,13.74,0.02,-0.011,0.11
19,6.76,6.72,2.73,2.71,6.38,0.64,13.98,0.02,-0.014,0.09
20,7.01,6.97,2.69,2.66,6.35,0.73,14.14,0.0,-0.023,0.08
21,7.37,7.36,2.16,2.16,6.21,0.78,13.58,-0.04,-0.026,0.07
22,7.36,7.36,2.35,2.38,6.25,0.84,13.98,-0.07,-0.037,0.07
23,7.29,7.28,2.41,2.44,6.2,0.77,13.49,-0.12,-0.042,0.07
24,7.0,7.0,2.48,2.51,6.32,0.79,13.66,-0.18,-0.043,0.08
25,7.15,7.12,2.66,2.67,6.41,0.76,13.53,-0.21,-0.037,0.08
26,7.21,7.16,2.82,2.83,6.48,0.66,13.65,-0.23,-0.046,0.08
27,7.52,7.49,2.36,2.4,6.44,0.75,13.74,-0.24,-0.048,0.09
28,8.97,8.94,1.99,2.02,6.26,0.61,14.32,-0.28,-0.06,0.09
29,8.83,8.77,1.95,1.98,6.37,0.67,14.24,-0.3,-0.072,0.1
30,8.49,8.42,1.94,1.97,6.4,0.51,14.07,-0.29,-0.091,0.11
31,7.65,7.6,2.0,2.04,6.42,0.6,14.14,-0.25,-0.103,0.12
32,6.96,6.9,2.33,2.33,6.64,0.77,14.35,-0.17,-0.106,0.13
33,6.65,6.6,2.49,2.48,6.47,0.79,13.86,-0.14,-0.105,0.13
34,6.41,6.37,2.79,2.8,6.35,0.8,13.61,-0.13,-0.105,0.14
35,6.06,6.04,3.13,3.15,6.52,0.9,14.2,-0.1,-0.095,0.15
36,6.22,6.17,2.86,2.87,6.53,0.84,13.44,-0.1,-0.101,0.14
37,6.22,6.17,2.86,2.87,6.53,0.84,13.44,-0.1,-0.101,0.14
1,6.29,6.27,2.35,2.43,6.72,1.33,15.03,-0.05,0.029,0.12
2,6.29,6.27,2.35,2.43,6.72,1.33,15.03,-0.05,0.029,0.12
3,6.29,6.27,2.35,2.43,6.72,1.33,15.03,-0.05,0.029,0.12
